Leading Cancer Sites,Year,Count
Brain and Other Nervous System,1999,18584
Brain and Other Nervous System,2000,18791
Brain and Other Nervous System,2001,18935
Brain and Other Nervous System,2002,19521
Brain and Other Nervous System,2003,19934
Brain and Other Nervous System,2004,20551
Brain and Other Nervous System,2005,20663
Brain and Other Nervous System,2006,20866
Brain and Other Nervous System,2007,21323
Brain and Other Nervous System,2008,21734
Brain and Other Nervous System,2009,21961
Brain and Other Nervous System,2010,21869
Brain and Other Nervous System,2011,21996
Brain and Other Nervous System,2012,22287
Brain and Other Nervous System,2013,22696
Brain and Other Nervous System,2014,22734
Brain and Other Nervous System,2015,22971
Brain and Other Nervous System,2016,23177
Brain and Other Nervous System,2017,23295
Brain and Other Nervous System,2018,22603
Breast,1999,198202
Breast,2000,198297
Breast,2001,202701
Breast,2002,202023
Breast,2003,197074
Breast,2004,198129
Breast,2005,201254
Breast,2006,205838
Breast,2007,212418
Breast,2008,218173
Breast,2009,223923
Breast,2010,220834
Breast,2011,228767
Breast,2012,232503
Breast,2013,239012
Breast,2014,243333
Breast,2015,249466
Breast,2016,251581
Breast,2017,256025
Breast,2018,257027
Cervix Uteri,1999,13753
Cervix Uteri,2000,13742
Cervix Uteri,2001,13263
Cervix Uteri,2002,12917
Cervix Uteri,2003,12711
Cervix Uteri,2004,12495
Cervix Uteri,2005,12798
Cervix Uteri,2006,12715
Cervix Uteri,2007,12714
Cervix Uteri,2008,12751
Cervix Uteri,2009,12917
Cervix Uteri,2010,12543
Cervix Uteri,2011,12461
Cervix Uteri,2012,12453
Cervix Uteri,2013,12307
Cervix Uteri,2014,12840
Cervix Uteri,2015,13137
Cervix Uteri,2016,13289
Cervix Uteri,2017,13062
Cervix Uteri,2018,12733
Colon and Rectum,1999,150073
Colon and Rectum,2000,151734
Colon and Rectum,2001,153643
Colon and Rectum,2002,152625
Colon and Rectum,2003,154005
Colon and Rectum,2004,152076
Colon and Rectum,2005,150898
Colon and Rectum,2006,149066
Colon and Rectum,2007,148541
Colon and Rectum,2008,147692
Colon and Rectum,2009,143814
Colon and Rectum,2010,140159
Colon and Rectum,2011,139947
Colon and Rectum,2012,139042
Colon and Rectum,2013,140067
Colon and Rectum,2014,142905
Colon and Rectum,2015,143903
Colon and Rectum,2016,144590
Colon and Rectum,2017,143530
Colon and Rectum,2018,141074
Corpus Uteri,1999,33883
Corpus Uteri,2000,34032
Corpus Uteri,2001,35819
Corpus Uteri,2002,35976
Corpus Uteri,2003,35790
Corpus Uteri,2004,37320
Corpus Uteri,2005,38501
Corpus Uteri,2006,39610
Corpus Uteri,2007,41041
Corpus Uteri,2008,42593
Corpus Uteri,2009,44503
Corpus Uteri,2010,45570
Corpus Uteri,2011,46992
Corpus Uteri,2012,48461
Corpus Uteri,2013,49777
