Leading Cancer Sites,Year,Count
Brain and Other Nervous System,1999,12765
Brain and Other Nervous System,2000,12655
Brain and Other Nervous System,2001,12609
Brain and Other Nervous System,2002,12830
Brain and Other Nervous System,2003,12901
Brain and Other Nervous System,2004,12829
Brain and Other Nervous System,2005,13152
Brain and Other Nervous System,2006,12886
Brain and Other Nervous System,2007,13234
Brain and Other Nervous System,2008,13724
Brain and Other Nervous System,2009,14176
Brain and Other Nervous System,2010,14164
Brain and Other Nervous System,2011,14491
Brain and Other Nervous System,2012,15276
Brain and Other Nervous System,2013,15343
Brain and Other Nervous System,2014,15997
Brain and Other Nervous System,2015,16268
Brain and Other Nervous System,2016,16834
Brain and Other Nervous System,2017,16804
Brain and Other Nervous System,2018,17126
Breast,1999,41528
Breast,2000,42300
Breast,2001,41809
Breast,2002,41883
Breast,2003,41998
Breast,2004,41316
Breast,2005,41491
Breast,2006,41209
Breast,2007,40969
Breast,2008,41026
Breast,2009,41076
Breast,2010,41435
Breast,2011,41374
Breast,2012,41555
Breast,2013,41324
Breast,2014,41676
Breast,2015,41986
Breast,2016,41951
Breast,2017,42510
Breast,2018,42949
Cervix Uteri,1999,4204
Cervix Uteri,2000,4200
Cervix Uteri,2001,4092
Cervix Uteri,2002,3952
Cervix Uteri,2003,3919
Cervix Uteri,2004,3850
Cervix Uteri,2005,3924
Cervix Uteri,2006,3976
Cervix Uteri,2007,4021
Cervix Uteri,2008,4008
Cervix Uteri,2009,3909
Cervix Uteri,2010,3939
Cervix Uteri,2011,4092
Cervix Uteri,2012,4074
Cervix Uteri,2013,4217
Cervix Uteri,2014,4115
Cervix Uteri,2015,4175
Cervix Uteri,2016,4188
Cervix Uteri,2017,4207
Cervix Uteri,2018,4138
Colon and Rectum,1999,57222
Colon and Rectum,2000,57434
Colon and Rectum,2001,56808
Colon and Rectum,2002,56603
Colon and Rectum,2003,55783
Colon and Rectum,2004,53580
Colon and Rectum,2005,53005
Colon and Rectum,2006,53196
Colon and Rectum,2007,53219
Colon and Rectum,2008,52857
Colon and Rectum,2009,51848
Colon and Rectum,2010,52045
Colon and Rectum,2011,51783
Colon and Rectum,2012,51516
Colon and Rectum,2013,51813
Colon and Rectum,2014,51651
Colon and Rectum,2015,52396
Colon and Rectum,2016,52286
Colon and Rectum,2017,52547
Colon and Rectum,2018,52163
Corpus Uteri,1999,3121
Corpus Uteri,2000,3139
Corpus Uteri,2001,3185
Corpus Uteri,2002,3187
Corpus Uteri,2003,3261
Corpus Uteri,2004,3272
Corpus Uteri,2005,3259
Corpus Uteri,2006,3449
Corpus Uteri,2007,3377
Corpus Uteri,2008,3436
Corpus Uteri,2009,3333
Corpus Uteri,2010,3644
Corpus Uteri,2011,3714
Corpus Uteri,2012,3812
Corpus Uteri,2013,3903
Corpus Uteri,2014,4160
Corpus Uteri,2015,4350
Corpus Uteri,2016,5410
Corpus Uteri,2017,5962
Corpus Uteri,2018,6416
Esophagus,1999,11917
Esophagus,2000,12232
Esophagus,2001,12529
Esophagus,2002,12700
Esophagus,2003,12860
Esophagus,2004,13023
Esophagus,2005,13499
Esophagus,2006,13685
Esophagus,2007,13592
